Sector;Subsector;Emissieoorzaak;Emissieoorzaak_code;Nic;Bedrijf;Straat;Huisnummer;Toevoeging;Postcode;Woonplaats;Xcoord;Ycoord;Sbi_code;Sbi_naam;Herkomst_code;Herkomst;Dataset;Jaar;Emissie;Eenheid
Chemische Industrie;Chemische Industrie overig;SBI 21.1 (per bedrijf): Vervaardiging van farmaceutische producten;T103100;204062;Intervet Schering-Plough Animal Health (De Bilt);Ambachtstraat;4;;3732CN;De Bilt;141194;457889;21200;Vervaardiging van farmaceutische producten (geen grondstoffen);01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;666;kg
Chemische Industrie;Chemische Industrie overig;SBI 21.1 (per bedrijf): Vervaardiging van farmaceutische producten;T103100;204062;Intervet Schering-Plough Animal Health (De Bilt);Ambachtstraat;4;;3732CN;De Bilt;141194;457889;21200;Vervaardiging van farmaceutische producten (geen grondstoffen);02;Milieujaarverslag, versie nog niet gevalideerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;73,9;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203651;DSM Advanced Polyesters Emmen BV;1e Bokslootweg;17;;7821AT;Emmen;257552;533045;20160;Vervaardiging van kunststof in primaire vorm;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;679;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203651;DSM Advanced Polyesters Emmen BV;1e Bokslootweg;17;;7821AT;Emmen;257552;533045;20160;Vervaardiging van kunststof in primaire vorm;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;424;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203651;DSM Advanced Polyesters Emmen BV;1e Bokslootweg;17;;7821AT;Emmen;257552;533045;20160;Vervaardiging van kunststof in primaire vorm;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2010;2337;kg
Chemische Industrie;Chemische Industrie basisproducten;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;T101100;203651;DSM Advanced Polyesters Emmen BV;1e Bokslootweg;17;;7821AT;Emmen;257552;533045;20160;Vervaardiging van kunststof in primaire vorm;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;310;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;203505;Maasstroom Energie CV;Petroleumweg;46;;3196KD;Vondelingenplaat Rotterdam;83747;433987;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2019;227020;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;203505;Maasstroom Energie CV;Petroleumweg;46;;3196KD;Vondelingenplaat Rotterdam;83747;433987;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2020;183128;kg
Energiesector;Opwekking electriciteit;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;T108500;203505;Maasstroom Energie CV;Petroleumweg;46;;3196KD;Vondelingenplaat Rotterdam;83747;433987;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2010;160913;kg
Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);SBI 64 (per bedrijf): Financiele dienstverlening (excl. verzekeringen en pensioenfondsen);T165202;203505;Maasstroom Energie CV;Petroleumweg;46;;3196KD;Vondelingenplaat Rotterdam;83747;433987;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;01;Milieujaarverslag, geaccepteerd door het bevoegd gezag;ER Reeks 1990-2020 Definitief;2015;44618;kg
