CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2015
VERSION          1.0
RELEASE_DATE     4/3/2016
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

150101  01  3.867
150101  02  1.862
150101  03  1.535
150101  04  1.028
150101  05  0.923
150101  06  0.651
150101  07  1.088
150101  08  0.979
150101  09  0.955
150101  10  0.570
150101  11  0.621
150101  12  0.450
150101  13  0.660
150101  14  0.533
150101  15  0.727
150101  16  0.747
150101  17  0.994
150101  18  1.244
150101  19  1.200
150101  20  0.410
150101  21  0.508
150101  22  0.379
150101  23  0.272
150101  24  0.164
150102  01  0.037
150102  02  0.013
150102  03  0.433
150102  04  0.317
150102  05  0.231
150102  06  0.198
150102  07  0.235
150102  08  0.608
150102  09  1.041
150102  10  1.855
150102  11  1.542
150102  12  1.266
150102  13  1.036
150102  14  0.808
150102  15  0.712
150102  16  1.104
150102  17  1.388
150102  18  1.554
150102  19  1.562
150102  20  1.314
150102  21  1.531
150102  22  1.775
150102  23  1.673
150102  24  1.710
150103  01 -0.241
150103  02  0.131
150103  03  0.063
150103  04  1.010
150103  05  1.355
150103  06  1.606
150103  07  1.337
150103  08  0.377
150103  09  0.373
150103  10  1.192
150103  11  1.738
150103  12  1.622
150103  13  1.271
150103  14  1.563
150103  15  1.481
150103  16  2.178
150103  17  2.591
150103  18  3.649
150103  19  4.092
150103  20  1.434
150103  21  0.254
150103  22  1.412
150103  23  2.931
150103  24  2.650
150104  01  1.468
150104  02  1.283
150104  03  1.904
150104  04  2.470
150104  05  2.375
150104  06  2.046
150104  07  2.453
150104  08  3.016
150104  09  3.888
150104  10  3.544
150104  11  2.627
150104  12  1.665
150104  13  2.141
150104  14  1.316
150104  15  1.361
150104  16  2.219
150104  17  3.976
150104  18  4.028
150104  19  4.178
150104  20  4.432
150104  21  3.644
150104  22  2.936
150104  23  2.052
150104  24  1.507
150105  01 -0.069
150105  02  0.767
150105  03  0.712
150105  04  0.816
150105  05  1.082
150105  06  2.351
150105  07  2.751
150105  08  2.608
150105  09  2.850
150105  10  1.993
150105  11  1.583
150105  12  1.047
150105  13  1.244
150105  14  1.823
150105  15  1.172
150105  16  0.594
150105  17  0.724
150105  18  0.235
150105  19  0.205
150105  20  0.496
150105  21  0.946
150105  22  0.526
150105  23  0.454
150105  24  0.245
150106  01  0.009
150106  02 -1.069
150106  03 -1.143
150106  04 -0.281
150106  05 -0.299
150106  06 -0.559
150106  07 -0.148
150106  08  1.026
150106  09  1.183
150106  10  0.823
150106  11  0.844
150106  12  0.982
150106  13  1.532
150106  14  0.205
150106  15  0.305
150106  16  0.167
150106  17  1.140
150106  18  0.544
150106  19  0.084
150106  20 -0.080
150106  21 -0.024
150106  22 -0.058
150106  23  1.188
150106  24  2.215
150107  01  3.050
150107  02  2.382
